,角度X/度,角度Y/度,高度H/米,角速度X/弧度每秒,角速度Y/弧度每秒,平动速度H/米每秒,角加速度X/弧度每二次方秒,角加速度Y/弧度每二次方秒,平动加速度H/弧度每二次方秒
-0.099,0.0,0.0,-0.11,-0.0,-0.002802,0.010098,-0.0,-2.801891,10.098163
-0.098,-0.0,-0.000161,-0.10999,-0.0,-0.005606,0.020196,-0.0,-2.801635,10.09724
-0.097,-0.0,-0.000482,-0.10997,-0.0,-0.008412,0.030294,-0.0,-2.801122,10.095394
-0.096,-0.0,-0.000964,-0.109939,-0.0,-0.01122,0.040389,-0.0,-2.800354,10.092624
-0.095,-0.0,-0.001607,-0.109899,-0.0,-0.014029,0.050482,0.0,-2.79933,10.088932
-0.094,-0.0,-0.00241,-0.109849,-0.0,-0.016839,0.060571,0.0,-2.798049,10.084317
-0.093,-0.0,-0.003375,-0.109788,-0.0,-0.01965,0.070655,0.0,-2.796513,10.07878
-0.092,-0.0,-0.004501,-0.109717,-0.0,-0.022462,0.080734,0.0,-2.79472,10.07232
-0.091,-0.0,-0.005788,-0.109637,-0.0,-0.025274,0.090806,0.0,-2.792672,10.06494
-0.09,-0.0,-0.007236,-0.109546,-0.0,-0.028087,0.100871,0.0,-2.790369,10.056638
-0.089,-0.0,-0.008845,-0.109445,-0.0,-0.030899,0.110928,0.0,-2.78781,10.047416
-0.088,-0.0,-0.010616,-0.109334,-0.0,-0.033711,0.120975,-0.0,-2.784996,10.037274
-0.087,-0.0,-0.012547,-0.109213,-0.0,-0.036522,0.131012,-0.0,-2.781927,10.026214
-0.086,-0.0,-0.01464,-0.109082,-0.0,-0.039332,0.141038,-0.0,-2.778604,10.014236
-0.08499999999999999,-0.0,-0.016893,-0.108941,-0.0,-0.042141,0.151053,-0.0,-2.775026,10.001341
-0.08399999999999999,-0.0,-0.019308,-0.10879,-0.0,-0.044949,0.161054,-0.0,-2.771194,9.98753
-0.08299999999999999,-0.0,-0.021883,-0.108629,-0.0,-0.047755,0.171042,0.0,-2.767108,9.972804
-0.08199999999999999,-0.0,-0.024619,-0.108458,-0.0,-0.050559,0.181014,0.0,-2.762769,9.957165
-0.08099999999999999,-0.0,-0.027516,-0.108277,-0.0,-0.053361,0.190971,-0.0,-2.758176,9.940614
-0.07999999999999999,-0.0,-0.030574,-0.108086,-0.0,-0.056161,0.200912,-0.0,-2.753331,9.923152
-0.07899999999999999,-0.0,-0.033791,-0.107885,-0.0,-0.058957,0.210835,0.0,-2.748234,9.904781
-0.07799999999999999,-0.0,-0.037169,-0.107674,-0.0,-0.061751,0.22074,-0.0,-2.742885,9.885502
-0.07699999999999999,-0.0,-0.040707,-0.107453,-0.0,-0.064542,0.230626,-0.0,-2.737284,9.865317
-0.07599999999999998,-0.0,-0.044405,-0.107223,-0.0,-0.067329,0.240491,-0.0,-2.731432,9.844227
-0.07499999999999998,-0.0,-0.048263,-0.106982,-0.0,-0.070113,0.250335,0.0,-2.72533,9.822234
-0.07399999999999998,-0.0,-0.05228,-0.106732,-0.0,-0.072892,0.260157,0.0,-2.718978,9.799341
-0.07299999999999998,-0.0,-0.056457,-0.106472,-0.0,-0.075668,0.269957,0.0,-2.712376,9.775548
-0.07199999999999998,-0.0,-0.060792,-0.106202,-0.0,-0.078438,0.279732,-0.0,-2.705526,9.750859
-0.07099999999999998,-0.0,-0.065286,-0.105922,-0.0,-0.081205,0.289483,0.0,-2.698427,9.725275
-0.06999999999999998,-0.0,-0.069939,-0.105633,-0.0,-0.083966,0.299208,-0.0,-2.691081,9.698798
-0.06899999999999998,-0.0,-0.07475,-0.105333,-0.0,-0.086722,0.308907,-0.0,-2.683488,9.671431
-0.06799999999999998,-0.0,-0.079719,-0.105024,-0.0,-0.089472,0.318579,-0.0,-2.675648,9.643176
-0.06699999999999998,-0.0,-0.084845,-0.104706,-0.0,-0.092217,0.328222,0.0,-2.667562,9.614035
-0.06599999999999998,-0.0,-0.090129,-0.104378,-0.0,-0.094955,0.337836,0.0,-2.659232,9.584012
-0.06499999999999997,-0.0,-0.095569,-0.10404,-0.0,-0.097688,0.34742,-0.0,-2.650657,9.553107
-0.06399999999999997,-0.0,-0.101166,-0.103692,-0.0,-0.100413,0.356973,-0.0,-2.641838,9.521325
-0.06299999999999997,-0.0,-0.106919,-0.103335,-0.0,-0.103133,0.366494,0.0,-2.632777,9.488667
-0.06199999999999997,-0.0,-0.112829,-0.102969,-0.0,-0.105845,0.375983,-0.0,-2.623474,9.455138
-0.06099999999999997,-0.0,-0.118893,-0.102593,-0.0,-0.10855,0.385438,0.0,-2.613929,9.420738
-0.05999999999999997,-0.0,-0.125112,-0.102207,-0.0,-0.111247,0.394859,-0.0,-2.604144,9.385473
-0.05899999999999997,-0.0,-0.131486,-0.101813,-0.0,-0.113937,0.404244,-0.0,-2.59412,9.349343
-0.05799999999999997,-0.0,-0.138014,-0.101408,-0.0,-0.116618,0.413594,-0.0,-2.583856,9.312354
-0.05699999999999997,-0.0,-0.144696,-0.100995,-0.0,-0.119292,0.422906,-0.0,-2.573355,9.274507
-0.055999999999999966,-0.0,-0.151531,-0.100572,-0.0,-0.121957,0.43218,-0.0,-2.562617,9.235806
-0.054999999999999966,-0.0,-0.158519,-0.10014,-0.0,-0.124613,0.441416,-0.0,-2.551643,9.196255
-0.053999999999999965,-0.0,-0.165659,-0.099698,-0.0,-0.12726,0.450613,-0.0,-2.540434,9.155857
-0.052999999999999964,-0.0,-0.17295,-0.099248,-0.0,-0.129898,0.459768,-0.0,-2.528991,9.114616
-0.05199999999999996,-0.0,-0.180393,-0.098788,-0.0,-0.132527,0.468883,0.0,-2.517315,9.072534
-0.05099999999999996,-0.0,-0.187986,-0.098319,-0.0,-0.135146,0.477956,-0.0,-2.505407,9.029616
-0.04999999999999996,-0.0,-0.195729,-0.097841,-0.0,-0.137755,0.486985,-0.0,-2.493268,8.985866
-0.04899999999999996,-0.0,-0.203622,-0.097354,-0.0,-0.140353,0.495971,-0.0,-2.480899,8.941287
-0.04799999999999996,-0.0,-0.211664,-0.096858,-0.0,-0.142942,0.504912,-0.0,-2.468301,8.895883
-0.04699999999999996,-0.0,-0.219854,-0.096353,-0.0,-0.145519,0.513808,-0.0,-2.455475,8.849658
-0.04599999999999996,-0.0,-0.228191,-0.095839,-0.0,-0.148086,0.522658,-0.0,-2.442423,8.802617
-0.04499999999999996,-0.0,-0.236676,-0.095317,-0.0,-0.150642,0.53146,0.0,-2.429145,8.754762
-0.043999999999999956,-0.0,-0.245307,-0.094785,-0.0,-0.153186,0.540215,-0.0,-2.415643,8.706099
-0.042999999999999955,-0.0,-0.254084,-0.094245,-0.0,-0.155719,0.548921,0.0,-2.401917,8.656632
-0.041999999999999954,-0.0,-0.263006,-0.093696,-0.0,-0.15824,0.557578,0.0,-2.38797,8.606365
-0.04099999999999995,-0.0,-0.272072,-0.093139,-0.0,-0.160748,0.566184,0.0,-2.373802,8.555303
-0.03999999999999995,-0.0,-0.281283,-0.092572,-0.0,-0.163245,0.57474,-0.0,-2.359415,8.50345
-0.03899999999999995,-0.0,-0.290636,-0.091998,-0.0,-0.165729,0.583243,-0.0,-2.344809,8.45081
-0.03799999999999995,-0.0,-0.300131,-0.091414,-0.0,-0.1682,0.591694,0.0,-2.329987,8.397388
-0.03699999999999995,-0.0,-0.309769,-0.090823,-0.0,-0.170658,0.600091,-0.0,-2.314948,8.34319
-0.03599999999999995,-0.0,-0.319547,-0.090223,-0.0,-0.173103,0.608434,-0.0,-2.299696,8.288219
-0.03499999999999995,-0.0,-0.329465,-0.089614,-0.0,-0.175535,0.616723,0.0,-2.284231,8.23248
-0.03399999999999995,-0.0,-0.339522,-0.088997,-0.0,-0.177952,0.624955,-0.0,-2.268554,8.17598
-0.032999999999999946,-0.0,-0.349718,-0.088372,-0.0,-0.180356,0.633131,-0.0,-2.252667,8.118721
-0.031999999999999945,-0.0,-0.360052,-0.087739,-0.0,-0.182746,0.64125,-0.0,-2.236571,8.060711
-0.030999999999999944,-0.0,-0.370522,-0.087098,-0.0,-0.185122,0.649311,-0.0,-2.220268,8.001952
-0.029999999999999943,-0.0,-0.381129,-0.086449,-0.0,-0.187483,0.657313,0.0,-2.203758,7.942452
-0.028999999999999942,-0.0,-0.391871,-0.085791,-0.0,-0.189829,0.665255,0.0,-2.187045,7.882215
-0.02799999999999994,-0.0,-0.402747,-0.085126,-0.0,-0.19216,0.673137,0.0,-2.170128,7.821247
-0.02699999999999994,-0.0,-0.413757,-0.084453,-0.0,-0.194476,0.680958,-0.0,-2.153011,7.759553
-0.02599999999999994,-0.0,-0.4249,-0.083772,-0.0,-0.196777,0.688718,0.0,-2.135693,7.697138
-0.02499999999999994,-0.0,-0.436174,-0.083083,-0.0,-0.199062,0.696415,0.0,-2.118177,7.634008
-0.023999999999999938,-0.0,-0.44758,-0.082387,-0.0,-0.201331,0.704049,0.0,-2.100464,7.570169
-0.022999999999999937,-0.0,-0.459115,-0.081683,-0.0,-0.203584,0.711619,-0.0,-2.082555,7.505626
-0.021999999999999936,-0.0,-0.47078,-0.080971,-0.0,-0.20582,0.719125,-0.0,-2.064453,7.440385
-0.020999999999999935,-0.0,-0.482572,-0.080252,-0.0,-0.208041,0.726565,0.0,-2.046159,7.374452
-0.019999999999999934,-0.0,-0.494492,-0.079526,-0.0,-0.210244,0.73394,0.0,-2.027675,7.307833
-0.018999999999999934,-0.0,-0.506538,-0.078792,-0.0,-0.212431,0.741248,-0.0,-2.009002,7.240534
-0.017999999999999933,-0.0,-0.51871,-0.07805,-0.0,-0.214601,0.748488,-0.0,-1.990142,7.17256
-0.016999999999999932,-0.0,-0.531005,-0.077302,-0.0,-0.216753,0.755661,-0.0,-1.971096,7.103919
-0.01599999999999993,-0.0,-0.543424,-0.076546,-0.0,-0.218888,0.762765,-0.0,-1.951867,7.034615
-0.01499999999999993,-0.0,-0.555966,-0.075784,-0.0,-0.221005,0.769799,-0.0,-1.932456,6.964656
-0.01399999999999993,-0.0,-0.568628,-0.075014,-0.0,-0.223104,0.776764,0.0,-1.912865,6.894047
-0.012999999999999928,-0.0,-0.581411,-0.074237,-0.0,-0.225186,0.783658,-0.0,-1.893095,6.822795
-0.011999999999999927,-0.0,-0.594313,-0.073453,-0.0,-0.227249,0.790481,0.0,-1.873149,6.750907
-0.010999999999999927,-0.0,-0.607334,-0.072663,-0.0,-0.229293,0.797232,-0.0,-1.853028,6.678388
-0.009999999999999926,-0.0,-0.620471,-0.071866,-0.0,-0.231319,0.80391,-0.0,-1.832733,6.605245
-0.008999999999999925,-0.0,-0.633725,-0.071062,-0.0,-0.233326,0.810515,-0.0,-1.812268,6.531486
-0.007999999999999924,-0.0,-0.647094,-0.070251,-0.0,-0.235314,0.817047,-0.0,-1.791633,6.457116
-0.006999999999999924,-0.0,-0.660576,-0.069434,-0.0,-0.237283,0.823504,0.0,-1.77083,6.382142
-0.005999999999999924,-0.0,-0.674171,-0.068611,-0.0,-0.239232,0.829886,-0.0,-1.749862,6.306571
-0.004999999999999924,-0.0,-0.687878,-0.067781,-0.0,-0.241162,0.836193,0.0,-1.72873,6.23041
-0.003999999999999924,-0.0,-0.701696,-0.066945,-0.0,-0.243072,0.842423,-0.0,-1.707437,6.153666
-0.0029999999999999237,-0.0,-0.715623,-0.066102,-0.0,-0.244962,0.848577,0.0,-1.685983,6.076346
-0.0019999999999999237,-0.0,-0.729658,-0.065254,-0.0,-0.246832,0.854653,-0.0,-1.664372,5.998456
-0.0009999999999999237,-0.0,-0.743801,-0.064399,-0.0,-0.248682,0.860651,0.0,-1.642604,5.920004
7.632783294297951e-17,-0.0,-0.758049,-0.063538,-0.0,-0.250511,0.866571,-0.0,-1.620683,5.840997
0.0010000000000000763,-0.0,-0.772402,-0.062672,-0.0,-0.252319,0.872412,-1.027526,-1.027619,6.651753
0.0020000000000000764,-0.0,-0.786859,-0.061799,-0.001149,-0.253469,0.879064,-1.013238,-1.013333,6.55928
