x1,x10,y1,y2,loss
-20,-20,-0.133652,1.271625,0.747392372729
-20,-19,-0.140643,1.238775,0.694273079074
-20,-18,-0.147635,1.205925,0.6434100738499998
-20,-17,-0.154626,1.173073,0.5947997582050001
-20,-16,-0.161618,1.140219,0.5484431308850002
-20,-15,-0.168611,1.107365,0.5043433875459999
-20,-14,-0.175604,1.074508,0.46249627688000006
-20,-13,-0.182597,1.04165,0.42290488690899997
-20,-12,-0.18959,1.008791,0.38556941478100004
-20,-11,-0.196584,0.975931,0.35049045081700003
-20,-10,-0.203577,0.943068,0.31766531755300004
-20,-9,-0.210572,0.910205,0.28709878420900004
-20,-8,-0.217566,0.87734,0.25878778995600005
-20,-7,-0.224561,0.844474,0.23273443939699998
-20,-6,-0.231556,0.811606,0.20893772037200006
-20,-5,-0.238552,0.778736,0.1873985044
-20,-4,-0.245548,0.745866,0.16811805026000004
-20,-3,-0.252544,0.712993,0.151094584985
-20,-2,-0.25954,0.68012,0.13633027599999997
-20,-1,-0.266537,0.647245,0.12382473739399999
-20,0,-0.273534,0.614368,0.11357785858000002
-20,1,-0.280531,0.58149,0.10559036206099998
-20,2,-0.287529,0.548611,0.09986302016199998
-20,3,-0.294527,0.51573,0.096395286629
-20,4,-0.301525,0.482848,0.09518768672899999
-20,5,-0.308523,0.449964,0.09624035282499999
-20,6,-0.315522,0.417079,0.09955430972500001
-20,7,-0.322521,0.384192,0.105129218305
-20,8,-0.329521,0.351304,0.11296599985700001
-20,9,-0.336521,0.318415,0.12306422066600001
-20,10,-0.343521,0.285524,0.13542434201700002
-20,11,-0.350521,0.252632,0.150046428865
-20,12,-0.357522,0.219738,0.166931789128
-20,13,-0.370939,0.190131,0.189292403882
-20,14,-0.378064,0.156656,0.210971980432
-20,15,-0.385189,0.123178,0.23499600540499999
-20,16,-0.392314,0.0897,0.261363114596
-20,17,-0.39944,0.05622,0.290075552
-20,18,-0.406566,0.022738,0.321132949
-20,19,-0.413692,-0.010745,0.354534850889
-19,-20,-0.413692,-0.010745,0.354534850889
