,角度X/度,角度Y/度,高度H/米,角速度X/弧度每秒,角速度Y/弧度每秒,平动速度H/米每秒,角加速度X/弧度每二次方秒,角加速度Y/弧度每二次方秒,平动加速度H/弧度每二次方秒
0.001,0.0,0.0,-0.11,-0.0,-0.0,0.014349,-0.0,-0.0,14.349078
0.002,-0.0,-0.0,-0.109986,-0.0,-0.0,0.028698,0.0,-0.0,14.347214
0.003,-0.0,-0.0,-0.109957,0.0,-0.0,0.043045,0.0,-0.0,14.343486
0.004,-0.0,-0.0,-0.109914,0.0,-0.0,0.057389,0.0,-0.0,14.337894
0.005,-0.0,-0.0,-0.109857,0.0,-0.0,0.071727,0.0,-0.0,14.330439
0.006,0.0,-0.0,-0.109785,0.0,-0.0,0.086057,-0.0,-0.0,14.321121
0.007,0.0,-0.0,-0.109699,0.0,-0.0,0.100378,0.0,-0.0,14.309942
0.008,0.0,-0.0,-0.109598,0.0,-0.0,0.114688,0.0,-0.0,14.296902
0.009000000000000001,0.0,-0.0,-0.109484,0.0,-0.0,0.128985,0.0,0.0,14.282003
0.010000000000000002,0.0,-0.0,-0.109355,0.0,-0.0,0.143267,0.0,-0.0,14.265246
0.011000000000000003,0.0,-0.0,-0.109211,0.0,-0.0,0.157532,-0.0,-0.0,14.246634
0.012000000000000004,0.0,-0.0,-0.109054,0.0,-0.0,0.171779,-0.0,0.0,14.226168
0.013000000000000005,0.0,-0.0,-0.108882,0.0,-0.0,0.186005,-0.0,-0.0,14.203851
0.014000000000000005,0.0,-0.0,-0.108696,0.0,-0.0,0.200209,0.0,-0.0,14.179685
0.015000000000000006,0.0,-0.0,-0.108496,0.0,-0.0,0.214389,0.0,-0.0,14.153674
0.016000000000000007,0.0,-0.0,-0.108282,0.0,-0.0,0.228542,0.0,0.0,14.125819
0.017000000000000008,0.0,-0.0,-0.108053,0.0,-0.0,0.242668,-0.0,-0.0,14.096125
0.01800000000000001,0.0,-0.0,-0.10781,0.0,-0.0,0.256764,-0.0,0.0,14.064594
0.01900000000000001,0.0,-0.0,-0.107554,0.0,-0.0,0.270829,0.0,-0.0,14.031231
0.02000000000000001,0.0,-0.0,-0.107283,0.0,-0.0,0.28486,-0.0,-0.0,13.99604
0.02100000000000001,0.0,-0.0,-0.106998,0.0,-0.0,0.298856,-0.0,-0.0,13.959024
0.022000000000000013,0.0,-0.0,-0.106699,0.0,-0.0,0.312815,0.0,-0.0,13.920188
0.023000000000000013,0.0,-0.0,-0.106386,0.0,-0.0,0.326735,0.0,-0.0,13.879537
0.024000000000000014,0.0,-0.0,-0.106059,0.0,-0.0,0.340615,-0.0,-0.0,13.837075
0.025000000000000015,0.0,-0.0,-0.105719,0.0,-0.0,0.354452,0.0,-0.0,13.792808
0.026000000000000016,0.0,-0.0,-0.105364,0.0,-0.0,0.368245,-0.0,-0.0,13.746741
0.027000000000000017,0.0,-0.0,-0.104996,0.0,-0.0,0.381992,0.0,-0.0,13.69888
0.028000000000000018,0.0,-0.0,-0.104614,0.0,-0.0,0.39569,0.0,-0.0,13.64923
0.02900000000000002,0.0,-0.0,-0.104218,0.0,-0.0,0.40934,0.0,-0.0,13.597797
0.03000000000000002,0.0,-0.0,-0.103809,0.0,-0.0,0.422938,-0.0,0.0,13.544587
0.03100000000000002,0.0,-0.0,-0.103386,0.0,-0.0,0.436482,0.0,0.0,13.489608
0.03200000000000002,0.0,-0.0,-0.10295,0.0,-0.0,0.449972,0.0,-0.0,13.432865
0.03300000000000002,0.0,-0.0,-0.1025,0.0,-0.0,0.463405,-0.0,-0.0,13.374366
0.03400000000000002,0.0,-0.0,-0.102036,0.0,-0.0,0.476779,0.0,-0.0,13.314118
0.035000000000000024,0.0,-0.0,-0.10156,0.0,-0.0,0.490093,0.0,0.0,13.252127
0.036000000000000025,0.0,-0.0,-0.101069,0.0,-0.0,0.503345,0.0,-0.0,13.188403
0.037000000000000026,0.0,-0.0,-0.100566,0.0,-0.0,0.516534,-0.0,-0.0,13.122951
0.03800000000000003,0.0,-0.0,-0.10005,0.0,-0.0,0.529657,0.0,-0.0,13.055782
0.03900000000000003,0.0,-0.0,-0.09952,0.0,-0.0,0.542712,0.0,-0.0,12.986902
0.04000000000000003,0.0,-0.0,-0.098977,0.0,-0.0,0.555699,-0.0,-0.0,12.91632
0.04100000000000003,0.0,-0.0,-0.098421,0.0,-0.0,0.568616,-0.0,-0.0,12.844046
0.04200000000000003,0.0,-0.0,-0.097853,0.0,-0.0,0.58146,0.0,-0.0,12.770087
0.04300000000000003,0.0,-0.0,-0.097271,0.0,-0.0,0.59423,0.0,-0.0,12.694453
0.04400000000000003,0.0,-0.0,-0.096677,0.0,-0.0,0.606924,0.0,-0.0,12.617154
0.04500000000000003,0.0,-0.0,-0.09607,0.0,-0.0,0.619541,-0.0,-0.0,12.538198
0.046000000000000034,0.0,-0.0,-0.095451,0.0,-0.0,0.632079,0.0,0.0,12.457596
0.047000000000000035,0.0,-0.0,-0.094819,0.0,-0.0,0.644537,0.0,-0.0,12.375358
0.048000000000000036,0.0,-0.0,-0.094174,0.0,-0.0,0.656912,-0.0,-0.0,12.291494
0.04900000000000004,0.0,-0.0,-0.093517,0.0,-0.0,0.669204,0.0,-0.0,12.206014
0.05000000000000004,0.0,-0.0,-0.092848,0.0,-0.0,0.68141,-0.0,0.0,12.118929
0.05100000000000004,0.0,-0.0,-0.092167,0.0,-0.0,0.693529,0.0,-0.0,12.03025
0.05200000000000004,0.0,-0.0,-0.091473,0.0,-0.0,0.705559,0.0,-0.0,11.939988
0.05300000000000004,0.0,-0.0,-0.090767,0.0,-0.0,0.717499,0.0,-0.0,11.848154
0.05400000000000004,0.0,-0.0,-0.09005,0.0,-0.0,0.729347,-0.0,0.0,11.75476
0.05500000000000004,0.0,-0.0,-0.089321,0.0,-0.0,0.741102,0.0,-0.0,11.659817
0.05600000000000004,0.0,-0.0,-0.08858,0.0,-0.0,0.752762,0.0,-0.0,11.563337
0.057000000000000044,0.0,-0.0,-0.087827,0.0,-0.0,0.764325,0.0,0.0,11.465333
0.058000000000000045,0.0,-0.0,-0.087062,0.0,-0.0,0.77579,0.0,-0.0,11.365817
0.059000000000000045,0.0,-0.0,-0.086287,0.0,-0.0,0.787156,0.0,-0.0,11.2648
0.060000000000000046,0.0,-0.0,-0.085499,0.0,-0.0,0.798421,-0.0,-0.0,11.162297
0.06100000000000005,0.0,-0.0,-0.084701,0.0,-0.0,0.809583,0.0,-0.0,11.058319
0.06200000000000005,0.0,-0.0,-0.083891,0.0,-0.0,0.820642,0.0,0.0,10.95288
0.06300000000000004,0.0,-0.0,-0.083071,0.0,-0.0,0.831595,-0.0,-0.0,10.845994
0.06400000000000004,0.0,-0.0,-0.082239,0.0,-0.0,0.842441,0.0,-0.0,10.737673
0.06500000000000004,0.0,-0.0,-0.081397,0.0,-0.0,0.853178,0.0,0.0,10.627931
0.06600000000000004,0.0,-0.0,-0.080544,0.0,-0.0,0.863806,-0.0,-0.0,10.516783
0.06700000000000005,0.0,-0.0,-0.07968,0.0,-0.0,0.874323,-0.0,-0.0,10.404242
0.06800000000000005,0.0,-0.0,-0.078806,0.0,-0.0,0.884727,0.0,0.0,10.290323
0.06900000000000005,0.0,-0.0,-0.077921,0.0,-0.0,0.895018,-0.0,-0.0,10.17504
0.07000000000000005,0.0,-0.0,-0.077026,0.0,-0.0,0.905193,0.0,-0.0,10.058408
0.07100000000000005,0.0,-0.0,-0.076121,0.0,-0.0,0.915251,-0.0,-0.0,9.940442
0.07200000000000005,0.0,-0.0,-0.075205,0.0,-0.0,0.925191,0.0,-0.0,9.821155
0.07300000000000005,0.0,-0.0,-0.07428,0.0,-0.0,0.935013,0.0,-0.0,9.700565
0.07400000000000005,0.0,-0.0,-0.073345,0.0,-0.0,0.944713,-0.0,-0.0,9.578686
0.07500000000000005,0.0,-0.0,-0.0724,0.0,-0.0,0.954292,0.0,-0.0,9.455534
0.07600000000000005,0.0,-0.0,-0.071446,0.0,-0.0,0.963747,0.0,0.0,9.331124
0.07700000000000005,0.0,-0.0,-0.070482,0.0,-0.0,0.973079,-0.0,-0.0,9.205473
0.07800000000000006,0.0,-0.0,-0.069509,0.0,-0.0,0.982284,0.0,-0.0,9.078596
0.07900000000000006,0.0,-0.0,-0.068527,0.0,-0.0,0.991363,-0.0,-0.0,8.950509
0.08000000000000006,0.0,-0.0,-0.067536,0.0,-0.0,1.000313,-0.0,-0.0,8.82123
0.08100000000000006,0.0,-0.0,-0.066535,0.0,-0.0,1.009134,0.0,0.0,8.690775
0.08200000000000006,0.0,-0.0,-0.065526,0.0,-0.0,1.017825,-0.0,-0.0,8.55916
0.08300000000000006,0.0,-0.0,-0.064508,0.0,-0.0,1.026384,-0.0,-0.0,8.426402
0.08400000000000006,0.0,-0.0,-0.063482,0.0,-0.0,1.034811,0.0,-0.0,8.292519
0.08500000000000006,0.0,-0.0,-0.062447,0.0,-0.0,1.043103,-0.0,-0.0,8.157527
0.08600000000000006,0.0,-0.0,-0.061404,0.0,-0.0,1.051261,0.0,-0.0,8.021445
0.08700000000000006,0.0,-0.0,-0.060353,0.0,-0.0,1.059282,0.0,0.0,7.884289
0.08800000000000006,0.0,-0.0,-0.059294,0.0,-0.0,1.067166,0.0,-0.0,7.746078
0.08900000000000007,0.0,-0.0,-0.058226,0.0,-0.0,1.074913,0.0,-0.0,7.606828
0.09000000000000007,0.0,-0.0,-0.057151,0.0,-0.0,1.082519,0.0,0.0,7.466559
0.09100000000000007,0.0,-0.0,-0.056069,0.0,-0.0,1.089986,0.0,-0.0,7.325289
0.09200000000000007,0.0,-0.0,-0.054979,0.0,-0.0,1.097311,-0.0,-0.0,7.183034
0.09300000000000007,0.0,-0.0,-0.053882,0.0,-0.0,1.104494,0.0,-0.0,7.039815
0.09400000000000007,0.0,-0.0,-0.052777,0.0,-0.0,1.111534,-0.0,0.0,6.89565
0.09500000000000007,0.0,-0.0,-0.051666,0.0,-0.0,1.11843,0.0,0.0,6.750557
0.09600000000000007,0.0,-0.0,-0.050547,0.0,-0.0,1.12518,0.0,-0.0,6.604555
0.09700000000000007,0.0,-0.0,-0.049422,0.0,-0.0,1.131785,-0.0,-0.0,6.457663
0.09800000000000007,0.0,-0.0,-0.04829,0.0,-0.0,1.138242,-0.0,-0.0,6.3099
0.09900000000000007,0.0,-0.0,-0.047152,0.0,-0.0,1.144552,0.0,-0.0,6.161286
0.10000000000000007,0.0,-0.0,-0.046007,0.0,-0.0,1.150714,0.0,-0.0,6.01184
